ID,red,green,blue,Y,cblue,cred,class
1,205.7487,170.7266,152.0398,169.7771,114.6549,144.8018,1
2,211.6454,159.6062,134.3936,163.9783,109.4322,152.7559,1
3,210.4338,150.6505,123.6611,158.0873,107.5036,156.0485,1
4,163.8286,115.1,97.1048,125.5952,112.7857,150.8762,1
5,173.3088,122.6789,100.442,132.1667,110.826,151.9877,1
6,155.8993,117.8791,105.4469,125.8059,117.2821,145.5842,1
7,187.6098,151.8111,144.0917,154.7983,119.2602,144.5203,1
8,208.1519,164.1134,127.2177,164.6892,105.0498,150.0186,1
9,203.6216,158.9216,117.6941,159.9235,103,150.6667,1
10,169.3766,132.1831,119.5416,137.7896,117.3078,145.0338,1
11,161.865,102.1986,69.7351,115.9338,104.6842,156.5722,1
12,216.3357,141.0369,109.2232,153.3488,102.9935,163.228,1
13,180.6168,103.9239,80.4429,122.6332,106.216,163.3845,1
14,202.9302,132.1673,103.8676,144.9231,104.9034,160.8596,1
15,123.5363,94.1278,67.6667,101.8622,111.8897,142.8722,1
16,150.0599,112.7632,90.0917,120.2187,112.3748,145.8748,1
17,126.4081,90.7831,60.2426,100.1728,109.4412,145.761,1
18,212.8764,150.8986,137.7393,160.1764,112.9243,155.9929,1
19,149.2578,105.475,99.8633,117.2797,119.0031,147.4523,1
20,193.6601,146.721,126.1704,152.0534,111.8388,150.1452,1
21,218.2285,150.4138,123.6136,159.9933,106.1106,159.6238,1
22,177.465,129.808,81.736,134.9977,99.885,152.4487,1
23,183.8072,136.7052,114.1032,143.3223,110.9397,150.518,1
24,193.6711,151.3962,116.3378,153.4353,106.3082,148.9865,1
25,196.71,132.7209,107.7646,143.968,107.9266,157.965,1
26,206.4637,157.4271,116.5897,159.8087,102.8816,152.3195,1
27,121.1932,73.8553,35.9811,87.8582,104.4096,151.7526,1
28,198.5771,146.6883,131.6052,153.8408,113.6391,152.0002,1
29,213.2175,143.4308,130.2894,155.788,111.721,159.6145,1
30,216.6387,152.7311,128.1757,161.1717,108.0144,157.9454,1
31,187.002,127.202,84.7776,136.4306,100.6112,157.3173,1
32,130.8666,88.2902,59.3205,99.8808,109.1735,148.5784,1
33,217.7082,171.2722,127.1705,170.7087,101.942,151.5053,1
34,204.6914,146.493,104.288,152.6413,101.0993,156.5491,1
35,214.0762,159.4561,128.0645,163.9067,106.0738,154.1668,1
36,219.2225,160.7822,124.7549,165.5643,103.6322,156.1641,1
37,200.8867,156.1614,123.6769,158.4089,107.3178,149.9212,1
38,191.2406,135.5579,111.1912,144.3401,109.2286,154.1281,1
39,204.5511,151.6319,118.8261,156.6076,105.6522,153.5995,1
40,222.4791,164.6849,133.8569,169.2392,105.8298,155.4208,1
41,186.2159,131.3191,92.7788,139.123,102.8872,154.6336,1
42,224.459,173.8606,132.7134,174.2792,102.4246,153.1619,1
43,219.9379,165.6018,132.8512,169.0009,105.4072,154.1877,1
44,202.18,160.0214,111.4764,159.5128,100.5581,150.1398,1
45,184.8009,153.5889,107.448,151.3917,102.922,145.2176,1
46,224.9431,169.1008,151.9465,173.8675,112.081,153.6535,1
47,219.7825,154.2666,131.8987,163.1221,108.7363,158.3918,1
48,215.0509,168.8544,151.232,171.1606,113.3109,149.4893,1
49,150.1215,96.8492,71.1976,110.3325,109.0343,153.2026,1
50,226.318,161.5537,124.6879,167.756,102.2697,159.0237,1
51,203.9622,147.25,121.6344,154.5044,108.3967,154.7278,1
52,213.3016,158.6696,132.2872,163.6926,108.5455,154.0014,1
53,229.6625,186.5313,157.1917,184.3938,108.8729,148.9792,1
54,180.3632,118.6624,106.3504,132.5499,113.468,155.9847,1
55,233.5767,192.9507,166.7727,189.5498,110.4703,147.617,1
56,219.9736,176.1611,148.3389,175.8197,109.274,149.1442,1
57,211.7887,177.0967,160.0045,175.2857,115.4762,144.4509,1
58,218.3125,163.7455,146.9866,169.0223,112.4866,153.1741,1
59,229.9333,187.6933,181.1978,187.4044,119.0756,147.0333,1
60,233.5771,196.2726,178.9398,192.4944,115.1203,145.8139,1
61,238.7878,191.4727,176.9336,191.1497,114.8203,149.8034,1
62,222.7232,185.4464,160.1339,182.3452,111.3304,146.1801,1
63,215.9412,196.2426,183.0985,188.2809,119.3912,137.5456,1
64,237.3727,203.2174,183.646,197.3776,114.4087,144.5776,1
65,176.9795,127.299,111.2865,136.5183,113.5658,150.8662,1
66,235.8492,218.7411,215.091,207.899,123.8009,135.6671,1
67,220.2689,190.6212,178.4773,186.1212,118.3333,141.8712,1
68,214.0488,145.7607,130.5381,157.2298,111.1393,159.0762,1
69,192.8545,159.3855,148.8745,160.4,118.5364,143.5836,1
70,215.792,195.8045,195.8095,189.2632,124.9198,136.8371,1
71,214.8828,188.5458,183.7718,184.2712,122.0848,139.9386,1
72,213.3798,182.5756,177.4302,180.2306,121.1919,141.9748,1
73,217.7179,169.0983,137.938,170.6432,107.1453,151.5491,1
74,244.4615,214.6721,196.583,206.2186,115.6923,142.3846,1
75,248.1176,206.7353,189.969,202.5441,114.4346,147.268,1
76,193.2688,166.2958,159.7979,165.1396,121.3167,140.1875,1
77,206.8301,155.8517,122.6388,159.6675,105.7057,152.89,1
78,189.5869,150.7151,132.4003,153.6097,114.1681,146.3162,1
79,232.3613,227.7197,232.3944,213.2078,129.2591,129.7848,1
80,216.161,171.1858,149.8091,172.4944,111.8485,149.348,1
81,220.9978,175.8844,150.5489,176.1711,110.2289,149.48,1
82,211.9175,168.3461,157.5628,170.7069,116.9101,147.8867,1
83,217.6269,161.2162,133.4474,166.2105,107.6222,154.6664,1
84,203.775,161.7033,152.3283,164.7783,117.855,147.1433,1
85,191.5571,128.631,123.2524,142.0929,116.45,156.0595,1
86,212.0098,172.2098,162.2784,173.1353,117.8098,146.2039,1
87,189.8812,154.0521,133.9444,155.5496,113.8214,145.2752,1
88,189.4036,140.3107,123.1286,147.4393,112.9536,151.0286,1
89,200.46,151.64,136.1867,157.29,113.84,150.8267,1
90,226.3,156.0687,118.1937,164.3625,101.0938,161.525,1
91,217.9017,162.7752,135.9221,167.2976,107.9719,154.1111,1
92,205.8631,159.9944,148.3659,164.0471,116.2637,148.9697,1
93,214.1516,166.724,149.5928,169.7014,113.491,150.1335,1
94,177.4762,115.328,103.4921,129.8386,113.6111,156.1217,1
95,225.6045,208.145,206.4933,199.1436,124.6707,135.6995,1
96,227.7993,213.2347,207.3061,202.3129,123.2143,134.8095,1
97,233.2806,178.3715,155.3083,181.0316,109.7668,153.747,1
98,208.3867,127.45,103.5833,143.8667,105.5367,165.2167,1
99,251.739,227.0059,217.6686,216.5337,120.1701,139.5455,1
100,225.6881,176.1214,160.331,178.4571,113.7071,151.0524,1
101,210.2072,184.4041,157.4859,178.3274,112.4118,141.1944,1
102,196.2674,162.37,127.4212,160.707,107.8168,145.4066,1
103,216.9679,183.8617,171.5086,181.1901,117.7975,143.4148,1
104,221.8992,192.563,181.1597,187.7731,118.7458,141.7311,1
105,232.0119,198.9554,182.7857,193.7366,116.1696,143.8452,1
106,239.7754,193.744,177.9251,192.6618,114.3454,149.3671,1
107,232.295,208.0588,191.977,199.3244,117.4596,139.6967,1
108,242.2926,204.7852,192.1074,200.2593,117.0296,145.4481,1
109,244.32,202.1747,182.3537,198.4611,112.9747,147.7937,1
110,215.4198,174.037,160.5556,174.7877,116.1284,147.0123,1
111,236.1132,182.3407,168.9181,185.1638,114.2568,152.6057,1
112,222.424,167.0693,145.696,171.632,110.5093,153.848,1
113,223.5731,164.1962,135.4769,169.45,106.6731,156.1,1
114,240.4198,194.9823,170.7627,192.7559,110.6689,149.6106,1
115,234.019,180.5476,148.1714,181.6048,105.8667,153.7571,1
116,251.5323,210.9,191.6452,205.6699,113.5914,147.1903,1
117,188.9072,141.8201,122.6654,148.0445,112.619,150.1044,1
118,210.2955,177.6309,171.6973,176.37,120.6427,142.9509,1
119,206.8281,162.8438,151.3516,166.0312,116.5234,148.1484,1
